#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.1377674731182796,-9.48588766739951
0.1383924731182796,-9.48588766739951
0.1390174731182796,-9.430739488675101
0.1396424731182796,-9.368238219454105
0.1402674731182796,-9.30573695023311
0.1408924731182796,-9.320443131226284
0.1415174731182796,-9.357208583709223
0.1421424731182796,-9.349855493212635
0.1427674731182796,-9.393974036192162
0.1433924731182796,-9.405003671937044
0.1440174731182796,-9.423386398178513
0.1446424731182796,-9.379267855198988
0.1452674731182796,-9.416033307681927
0.1458924731182796,-9.441769124419983
0.1465174731182796,-9.416033307681927
0.1471424731182796,-9.41970985293022
0.1477674731182796,-9.445445669668278
0.1483924731182796,-9.526329665130744
0.1490174731182796,-9.482211122151217
0.1496424731182796,-9.482211122151217
0.1502674731182796,-9.33514931221946
0.1508924731182796,-9.375591309950693
0.1515174731182796,-9.33514931221946
0.1521424731182796,-9.320443131226284
0.1527674731182796,-9.357208583709223
0.1533924731182796,-9.360885128957518
0.1540174731182796,-9.430739488675101
0.1546424731182796,-9.438092579171689
0.1552674731182796,-9.460151850661452
0.1558924731182796,-9.537359300875625
0.1565174731182796,-9.463828395909747
0.1571424731182796,-9.430739488675101
0.1577674731182796,-9.40132712668875
0.1583924731182796,-9.430739488675101
0.1590174731182796,-9.46750494115804
0.1596424731182796,-9.441769124419983
0.1602674731182796,-9.40132712668875
0.1608924731182796,-9.386620945695574
0.1615174731182796,-9.346178947964342
0.1621424731182796,-9.371914764702399
0.1627674731182796,-9.430739488675101
0.1633924731182796,-9.360885128957518
0.1640174731182796,-9.393974036192162
0.1646424731182796,-9.489564212647805
0.1652674731182796,-9.478534576902922
0.1658924731182796,-9.471181486406335
0.1665174731182796,-9.405003671937044
0.1671424731182796,-9.460151850661452
0.1677674731182796,-9.449122214916571
0.1683924731182796,-9.452798760164866
0.1690174731182796,-9.427062943426808
0.1696424731182796,-9.35353203846093
0.1702674731182796,-9.30573695023311
0.1708924731182796,-9.416033307681927
0.1715174731182796,-9.386620945695574
0.1721424731182796,-9.379267855198988
0.1727674731182796,-9.360885128957518
0.1733924731182796,-9.471181486406335
0.1740174731182796,-9.430739488675101
0.1746424731182796,-9.471181486406335
0.1752674731182796,-9.445445669668278
0.1758924731182796,-9.393974036192162
0.1765174731182796,-9.41970985293022
0.1771424731182796,-9.441769124419983
0.1777674731182796,-9.438092579171689
0.1783924731182796,-9.408680217185339
0.1790174731182796,-9.357208583709223
0.1796424731182796,-9.364561674205811
0.1802674731182796,-9.371914764702399
0.1808924731182796,-9.386620945695574
0.1815174731182796,-9.423386398178513
0.1821424731182796,-9.423386398178513
0.1827674731182796,-9.397650581440457
0.1833924731182796,-9.368238219454105
0.1840174731182796,-9.427062943426808
0.1846424731182796,-9.397650581440457
0.1852674731182796,-9.416033307681927
0.1858924731182796,-9.434416033923396
0.1865174731182796,-9.511623484137568
0.1871424731182796,-9.471181486406335
0.1877674731182796,-9.460151850661452
0.1883924731182796,-9.438092579171689
0.1890174731182796,-9.438092579171689
0.1896424731182796,-9.441769124419983
0.1902674731182796,-9.375591309950693
0.1908924731182796,-9.357208583709223
0.1915174731182796,-9.416033307681927
0.1921424731182796,-9.430739488675101
0.1927674731182796,-9.416033307681927
0.1933924731182796,-9.386620945695574
0.1940174731182796,-9.390297490943869
0.1946424731182796,-9.40132712668875
0.1952674731182796,-9.430739488675101
0.1958924731182796,-9.507946938889274
0.1965174731182796,-9.496917303144391
0.1971424731182796,-9.427062943426808
0.1977674731182796,-9.408680217185339
0.1983924731182796,-9.463828395909747
0.1990174731182796,-9.438092579171689
0.1996424731182796,-9.386620945695574
0.2002674731182796,-9.375591309950693
0.2008924731182796,-9.368238219454105
0.2015174731182796,-9.313090040729696
0.2021424731182796,-9.364561674205811
0.2027674731182796,-9.382944400447281
0.2033924731182796,-9.382944400447281
0.2040174731182796,-9.441769124419983
0.2046424731182796,-9.412356762433632
0.2052674731182796,-9.405003671937044
0.2058924731182796,-9.463828395909747
0.2065174731182796,-9.456475305413159
0.2071424731182796,-9.48588766739951
0.2077674731182796,-9.496917303144391
0.2083924731182796,-9.438092579171689
0.2090174731182796,-9.493240757896098
0.2096424731182796,-9.430739488675101
0.2102674731182796,-9.379267855198988
0.2108924731182796,-9.386620945695574
0.2115174731182796,-9.35353203846093
0.2121424731182796,-9.397650581440457
0.2127674731182796,-9.441769124419983
0.2133924731182796,-9.430739488675101
0.2140174731182796,-9.331472766971165
0.2146424731182796,-9.408680217185339
0.2152674731182796,-9.382944400447281
0.2158924731182796,-9.441769124419983
0.2165174731182796,-9.471181486406335
0.2171424731182796,-9.500593848392686
0.2177674731182796,-9.474858031654628
0.2183924731182796,-9.412356762433632
0.2190174731182796,-9.346178947964342
0.2196424731182796,-9.430739488675101
0.2202674731182796,-9.393974036192162
0.2208924731182796,-9.357208583709223
0.2215174731182796,-9.393974036192162
0.2221424731182796,-9.460151850661452
0.2227674731182796,-9.393974036192162
0.2233924731182796,-9.386620945695574
0.2240174731182796,-9.360885128957518
0.2246424731182796,-9.427062943426808
0.2252674731182796,-9.423386398178513
0.2258924731182796,-9.393974036192162
0.2265174731182796,-9.452798760164866
0.2271424731182796,-9.405003671937044
0.2277674731182796,-9.471181486406335
0.2283924731182796,-9.357208583709223
0.2290174731182796,-9.338825857467754
0.2296424731182796,-9.371914764702399
0.2302674731182796,-9.342502402716049
